date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml
2026-05-26,823379,2026-05-26T22:40:00Z,696136,Jordan Wicks,Pittsburgh Pirates,False,0.0,0.0,0.0,0.269,lineup,1.0,0.269,23.0,0.0,5.45,6.18,,"[{""id"": 804606, ""name"": ""Konnor Griffin"", ""slot"": 1}, {""id"": 664040, ""name"": ""Brandon Lowe"", ""slot"": 2}, {""id"": 668804, ""name"": ""Bryan Reynolds"", ""slot"": 3}, {""id"": 693304, ""name"": ""Nick Gonzales"", ""slot"": 4}, {""id"": 665833, ""name"": ""Oneil Cruz"", ""slot"": 5}, {""id"": 542303, ""name"": ""Marcell Ozuna"", ""slot"": 6}, {""id"": 699013, ""name"": ""Esmerlyn Valdez"", ""slot"": 7}, {""id"": 687462, ""name"": ""Spencer Horwitz"", ""slot"": 8}, {""id"": 680779, ""name"": ""Henry Davis"", ""slot"": 9}]",3.5,275,betrivers,127,draftkings,5,0.864,0.583,0.281,2.242,-0.692,0.642,0.059,,
2026-05-26,823624,2026-05-26T23:10:00Z,656849,David Peterson,Cincinnati Reds,True,0.218,0.23,0.107,0.24,lineup,1.02,0.242,28.0,5.12,6.74,6.78,,"[{""id"": 694362, ""name"": ""Blake Dunn"", ""slot"": 1}, {""id"": 682829, ""name"": ""Elly De La Cruz"", ""slot"": 2}, {""id"": 701398, ""name"": ""Sal Stewart"", ""slot"": 3}, {""id"": 668715, ""name"": ""Spencer Steer"", ""slot"": 4}, {""id"": 553993, ""name"": ""Eugenio Suárez"", ""slot"": 5}, {""id"": 667472, ""name"": ""Dane Myers"", ""slot"": 6}, {""id"": 668709, ""name"": ""JJ Bleday"", ""slot"": 7}, {""id"": 663886, ""name"": ""Tyler Stephenson"", ""slot"": 8}, {""id"": 680574, ""name"": ""Matt McLain"", ""slot"": 9}]",4.5,290,betrivers,118,fanduel,5,0.806,0.531,0.275,2.143,-0.577,0.614,0.083,,
2026-05-26,825004,2026-05-27T01:40:00Z,676106,Emerson Hancock,Athletics,False,0.262,0.258,0.131,0.224,team,1.0,0.259,23.7,5.99,6.13,6.13,,[],4.5,195,betrivers,-115,draftkings,5,0.732,0.49,0.243,1.161,-0.5,0.586,0.096,,
2026-05-26,822898,2026-05-27T00:05:00Z,669920,Jason Alexander,Texas Rangers,False,0.175,0.174,0.09,0.226,lineup,1.0,0.176,28.0,4.02,5.03,4.92,,"[{""id"": 592626, ""name"": ""Joc Pederson"", ""slot"": 1}, {""id"": 696030, ""name"": ""Alejandro Osuna"", ""slot"": 2}, {""id"": 607043, ""name"": ""Brandon Nimmo"", ""slot"": 3}, {""id"": 673962, ""name"": ""Josh Jung"", ""slot"": 4}, {""id"": 669394, ""name"": ""Jake Burger"", ""slot"": 5}, {""id"": 694497, ""name"": ""Evan Carter"", ""slot"": 6}, {""id"": 677649, ""name"": ""Ezequiel Duran"", ""slot"": 7}, {""id"": 679822, ""name"": ""Justin Foscue"", ""slot"": 8}, {""id"": 543309, ""name"": ""Kyle Higashioka"", ""slot"": 9}]",3.5,150,betrivers,118,draftkings,5,0.723,0.532,0.191,0.809,-0.397,0.583,0.051,,
2026-05-26,824275,2026-05-26T22:40:00Z,686799,Jack Kochanowicz,Detroit Tigers,False,0.163,0.169,0.107,0.239,lineup,1.0,0.175,25.5,3.8,4.28,4.48,,"[{""id"": 805808, ""name"": ""Kevin McGonigle"", ""slot"": 1}, {""id"": 693307, ""name"": ""Dillon Dingler"", ""slot"": 2}, {""id"": 682985, ""name"": ""Riley Greene"", ""slot"": 3}, {""id"": 690993, ""name"": ""Colt Keith"", ""slot"": 4}, {""id"": 679529, ""name"": ""Spencer Torkelson"", ""slot"": 5}, {""id"": 656716, ""name"": ""Zach McKinstry"", ""slot"": 6}, {""id"": 669398, ""name"": ""Gage Workman"", ""slot"": 7}, {""id"": 663837, ""name"": ""Matt Vierling"", ""slot"": 8}, {""id"": 672761, ""name"": ""Wenceel Pérez"", ""slot"": 9}]",3.5,215,betrivers,-110,betmgm,6,0.654,0.496,0.158,1.06,-0.339,0.56,0.064,,
2026-05-26,824597,2026-05-26T23:40:00Z,680732,Sean Burke,Minnesota Twins,True,0.205,0.221,0.093,0.227,lineup,1.0,0.213,25.8,4.87,5.54,5.51,,"[{""id"": 621439, ""name"": ""Byron Buxton"", ""slot"": 1}, {""id"": 686797, ""name"": ""Brooks Lee"", ""slot"": 2}, {""id"": 663616, ""name"": ""Trevor Larnach"", ""slot"": 3}, {""id"": 665019, ""name"": ""Kody Clemens"", ""slot"": 4}, {""id"": 668885, ""name"": ""Austin Martin"", ""slot"": 5}, {""id"": 605170, ""name"": ""Victor Caratini"", ""slot"": 6}, {""id"": 656484, ""name"": ""Tristan Gray"", ""slot"": 7}, {""id"": 807712, ""name"": ""Luke Keaschall"", ""slot"": 8}, {""id"": 681546, ""name"": ""James Outman"", ""slot"": 9}]",4.5,-110,fanduel,205,betrivers,6,0.645,0.505,0.14,0.231,0.083,0.558,0.053,,
2026-05-26,823379,2026-05-26T22:40:00Z,677952,Braxton Ashcraft,Chicago Cubs,True,0.264,0.254,0.136,0.211,lineup,1.0,0.244,25.2,5.98,6.13,6.13,,"[{""id"": 691718, ""name"": ""Pete Crow-Armstrong"", ""slot"": 1}, {""id"": 663538, ""name"": ""Nico Hoerner"", ""slot"": 2}, {""id"": 683737, ""name"": ""Michael Busch"", ""slot"": 3}, {""id"": 608324, ""name"": ""Alex Bregman"", ""slot"": 4}, {""id"": 664023, ""name"": ""Ian Happ"", ""slot"": 5}, {""id"": 673548, ""name"": ""Seiya Suzuki"", ""slot"": 6}, {""id"": 694208, ""name"": ""Moisés Ballesteros"", ""slot"": 7}, {""id"": 608348, ""name"": ""Carson Kelly"", ""slot"": 8}, {""id"": 621020, ""name"": ""Dansby Swanson"", ""slot"": 9}]",5.5,-120,betmgm,106,draftkings,6,0.575,0.522,0.053,0.054,-0.125,0.537,0.015,,
2026-05-26,823949,2026-05-27T02:10:00Z,607536,Kyle Freeland,Los Angeles Dodgers,False,0.194,0.195,0.118,0.205,team,1.02,0.181,22.5,4.47,3.99,4.07,,[],3.5,180,betrivers,106,fanduel,6,0.58,0.533,0.048,0.625,-0.136,0.539,0.006,,
2026-05-26,824758,2026-05-26T22:45:00Z,624133,Ranger Suarez,Atlanta Braves,True,0.229,0.275,0.095,0.219,lineup,0.96,0.231,20.7,5.68,4.75,4.78,,"[{""id"": 660670, ""name"": ""Ronald Acuña Jr."", ""slot"": 1}, {""id"": 643289, ""name"": ""Mauricio Dubón"", ""slot"": 2}, {""id"": 621566, ""name"": ""Matt Olson"", ""slot"": 3}, {""id"": 645277, ""name"": ""Ozzie Albies"", ""slot"": 4}, {""id"": 663586, ""name"": ""Austin Riley"", ""slot"": 5}, {""id"": 642201, ""name"": ""Eli White"", ""slot"": 6}, {""id"": 671739, ""name"": ""Michael Harris II"", ""slot"": 7}, {""id"": 673490, ""name"": ""Ha-Seong Kim"", ""slot"": 8}, {""id"": 506702, ""name"": ""Sandy León"", ""slot"": 9}]",4.5,105,betmgm,-112,fanduel,6,0.521,0.5,0.021,0.068,-0.093,0.522,0.022,,
2026-05-26,824106,2026-05-26T23:40:00Z,693645,Cam Schlittler,Kansas City Royals,False,0.296,0.283,0.164,0.206,lineup,1.0,0.267,23.4,6.7,6.5,6.25,,"[{""id"": 672580, ""name"": ""Maikel Garcia"", ""slot"": 1}, {""id"": 677951, ""name"": ""Bobby Witt Jr."", ""slot"": 2}, {""id"": 686469, ""name"": ""Vinnie Pasquantino"", ""slot"": 3}, {""id"": 521692, ""name"": ""Salvador Perez"", ""slot"": 4}, {""id"": 695600, ""name"": ""Carter Jensen"", ""slot"": 5}, {""id"": 657041, ""name"": ""Lane Thomas"", ""slot"": 6}, {""id"": 695506, ""name"": ""Jac Caglianone"", ""slot"": 7}, {""id"": 679845, ""name"": ""Nick Loftin"", ""slot"": 8}, {""id"": 664728, ""name"": ""Kyle Isbel"", ""slot"": 9}]",5.5,115,betmgm,230,betrivers,6,0.594,0.575,0.019,0.277,0.34,0.543,-0.033,,
