date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-05-11,823953,2026-05-12T02:10:00Z,686790,Trevor McDonald,Los Angeles Dodgers,False,0.333,0.333,0.0,0.208,team,1.02,0.315,24.0,7.67,7.41,7.56,,[],4.5,128,betonlineag,105,betmgm,6,0.872,0.421,0.451,0.989,-0.738
2026-05-11,824199,2026-05-12T00:10:00Z,663567,Peter Lambert,Seattle Mariners,True,0.247,0.247,0.139,0.245,team,1.0,0.279,23.2,5.69,6.27,6.49,,[],4.5,-138,fanduel,112,betonlineag,6,0.775,0.551,0.225,0.337,-0.524
2026-05-11,822901,2026-05-12T00:05:00Z,543135,Nathan Eovaldi,Arizona Diamondbacks,True,0.235,0.217,0.165,0.218,team,1.0,0.252,25.3,5.24,5.58,6.39,,[],5.5,215,betrivers,-135,bovada,7,0.615,0.449,0.165,0.936,-0.329
2026-05-11,824844,2026-05-11T22:35:00Z,677960,Ryan Weathers,Baltimore Orioles,False,0.285,0.283,0.125,0.245,team,1.0,0.294,23.1,6.54,7.15,6.8,,[],5.5,-130,bovada,110,betmgm,7,0.674,0.536,0.138,0.192,-0.314
2026-05-11,823953,2026-05-12T02:10:00Z,808963,Roki Sasaki,San Francisco Giants,True,0.194,0.19,0.133,0.215,team,1.02,0.21,22.7,4.42,4.17,4.77,,[],4.5,125,bovada,-140,betmgm,6,0.519,0.432,0.087,0.167,-0.175
2026-05-11,822901,2026-05-12T00:05:00Z,647336,Michael Soroka,Texas Rangers,False,0.258,0.24,0.116,0.234,team,1.0,0.252,23.7,5.76,6.16,5.96,,[],5.5,105,bovada,-121,draftkings,7,0.548,0.465,0.082,0.123,-0.174
2026-05-11,824844,2026-05-11T22:35:00Z,687064,Brandon Young,New York Yankees,True,0.151,0.151,0.102,0.234,team,1.0,0.174,23.2,3.46,3.64,4.05,,[],4.5,134,draftkings,-155,betmgm,7,0.381,0.416,-0.035,-0.109,0.019
2026-05-11,824441,2026-05-11T22:10:00Z,676282,Joey Cantillo,Los Angeles Angels,True,0.226,0.163,0.116,0.254,team,1.0,0.238,20.6,4.62,4.68,4.9,,[],5.5,110,betonlineag,133,betrivers,7,0.367,0.458,-0.091,-0.23,0.476
2026-05-11,822818,2026-05-11T23:07:00Z,656876,Drew Rasmussen,Toronto Blue Jays,False,0.252,0.252,0.113,0.18,team,1.01,0.194,21.2,5.79,4.25,4.11,,[],4.5,-114,fanduel,195,betrivers,7,0.393,0.503,-0.11,-0.263,0.792
2026-05-11,822818,2026-05-11T23:07:00Z,592332,Kevin Gausman,Tampa Bay Rays,True,0.232,0.14,0.142,0.186,team,1.01,0.187,23.6,4.5,3.81,4.41,,[],5.5,275,betrivers,124,draftkings,7,0.282,0.433,-0.152,0.056,0.609
2026-05-11,824199,2026-05-12T00:10:00Z,669923,George Kirby,Houston Astros,False,0.191,0.177,0.104,0.203,team,1.0,0.173,25.7,4.27,4.31,4.46,,[],5.5,116,draftkings,-135,betmgm,6,0.29,0.456,-0.166,-0.374,0.236
