date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-05-10,824605,2026-05-10T18:10:00Z,663436,Davis Martin,Seattle Mariners,True,0.254,0.248,0.126,0.243,team,1.0,0.27,24.5,5.79,6.67,6.62,,[],4.5,127,draftkings,115,betmgm,5,0.79,0.553,0.237,0.792,-0.548
2026-05-10,823463,2026-05-10T17:35:00Z,650911,Cristopher Sánchez,Colorado Rockies,True,0.287,0.264,0.162,0.257,team,1.0,0.333,26.9,6.39,8.53,8.96,,[],7.5,188,betrivers,125,betmgm,6,0.671,0.469,0.202,0.932,-0.26
2026-05-10,822902,2026-05-10T18:35:00Z,592791,Jameson Taillon,Texas Rangers,False,0.22,0.244,0.111,0.235,team,1.0,0.234,23.6,5.27,5.63,5.53,,[],4.5,-110,betmgm,101,draftkings,6,0.646,0.531,0.116,0.234,-0.289
2026-05-10,824845,2026-05-10T17:35:00Z,622663,Luis Severino,Baltimore Orioles,False,0.231,0.206,0.107,0.244,team,1.0,0.235,24.0,5.09,5.75,5.64,,[],4.5,125,betmgm,120,betrivers,7,0.664,0.566,0.098,0.494,-0.261
2026-05-10,823954,2026-05-10T20:10:00Z,693821,Bryce Elder,Los Angeles Dodgers,False,0.231,0.228,0.11,0.207,team,1.02,0.21,24.8,5.29,5.24,5.22,,[],4.5,-132,betonlineag,111,draftkings,5,0.597,0.538,0.059,0.049,-0.149
2026-05-10,824765,2026-05-10T17:35:00Z,801139,Payton Tolle,Tampa Bay Rays,True,0.343,0.343,0.148,0.187,team,0.96,0.259,22.3,7.9,6.37,5.78,,[],5.5,109,betonlineag,160,betmgm,6,0.519,0.463,0.056,0.084,0.252
2026-05-10,824440,2026-05-10T17:40:00Z,668909,Gavin Williams,Minnesota Twins,True,0.303,0.267,0.136,0.228,team,1.0,0.284,25.3,6.64,7.4,7.19,,[],6.5,235,betrivers,105,bovada,6,0.578,0.531,0.048,0.937,-0.135
2026-05-10,823868,2026-05-10T16:15:00Z,676917,Cade Cavalli,Miami Marlins,False,0.242,0.282,0.115,0.218,team,1.0,0.239,20.6,5.94,5.15,4.93,,[],4.5,175,betrivers,-103,mybookieag,7,0.546,0.52,0.027,0.502,-0.106
2026-05-10,823305,2026-05-10T20:10:00Z,681517,Kyle Leahy,San Diego Padres,False,0.17,0.196,0.089,0.224,team,1.02,0.181,22.6,4.15,4.05,4.08,,[],3.5,115,betmgm,120,bovada,5,0.583,0.566,0.017,0.253,-0.082
2026-05-10,824605,2026-05-10T18:10:00Z,669302,Logan Gilbert,Chicago White Sox,False,0.232,0.212,0.141,0.243,team,1.0,0.262,23.3,5.16,5.65,6.1,,[],5.5,117,draftkings,116,fanduel,5,0.571,0.56,0.011,0.238,-0.073
2026-05-10,823305,2026-05-10T20:10:00Z,621111,Walker Buehler,St. Louis Cardinals,True,0.212,0.212,0.09,0.22,team,1.02,0.198,20.1,4.87,4.15,3.98,,[],3.5,115,betmgm,122,fanduel,5,0.563,0.567,-0.004,0.21,-0.03
2026-05-10,822819,2026-05-10T17:37:00Z,667755,José Soriano,Toronto Blue Jays,False,0.29,0.287,0.155,0.177,team,1.01,0.234,23.1,6.65,5.28,5.43,,[],5.5,205,betrivers,-120,betmgm,6,0.459,0.467,-0.008,0.399,-0.008
2026-05-10,823868,2026-05-10T16:15:00Z,645261,Sandy Alcantara,Washington Nationals,True,0.165,0.136,0.121,0.221,team,1.0,0.18,26.9,3.53,4.06,4.83,,[],4.5,-135,bovada,255,betrivers,7,0.53,0.545,-0.015,-0.078,0.669
2026-05-10,824113,2026-05-10T23:20:00Z,702070,Noah Cameron,Detroit Tigers,True,0.194,0.185,0.117,0.221,team,1.0,0.201,24.3,4.39,4.56,4.88,,[],4.5,-135,betmgm,123,draftkings,5,0.538,0.555,-0.017,-0.063,0.03
