date,game_pk,pitcher_id,pitcher,opp,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-05-01,823557,700249,Cade Povich,New York Yankees,0.146,0.208,0.142,0.217,lineup,1.0,0.201,38.4,3.93,6.95,7.71,4.5,-135,betmgm,230,betrivers,7,0.883,0.541,0.342,0.536,-0.612
2026-05-01,824686,607067,Colin Rea,Arizona Diamondbacks,0.206,0.174,0.102,0.218,lineup,1.0,0.19,30.4,4.44,5.67,5.76,4.5,130,bovada,-150,betmgm,7,0.681,0.423,0.258,0.567,-0.469
2026-05-01,824772,687562,Jake Bennett,Houston Astros,0.0,0.0,0.0,0.194,lineup,0.96,0.186,23.0,0.0,4.53,4.29,3.5,240,betrivers,-126,draftkings,5,0.621,0.469,0.151,1.111,-0.32
2026-05-01,822744,694819,Jacob Misiorowski,Washington Nationals,0.372,0.342,0.188,0.207,lineup,1.0,0.333,23.1,8.28,8.17,7.68,6.5,-120,betmgm,110,bovada,7,0.646,0.528,0.118,0.185,-0.257
2026-05-01,824772,681347,Mike Burrows,Boston Red Sox,0.231,0.231,0.135,0.234,lineup,0.96,0.242,23.7,5.31,5.38,5.73,4.5,130,bovada,120,betrivers,7,0.677,0.564,0.114,0.558,-0.29
2026-05-01,824287,669022,MacKenzie Gore,Detroit Tigers,0.316,0.315,0.131,0.212,lineup,1.0,0.278,22.2,7.26,6.71,6.17,5.5,330,betrivers,-104,draftkings,7,0.581,0.51,0.07,1.497,-0.177
2026-05-01,822744,663623,Jake Irvin,Milwaukee Brewers,0.264,0.248,0.123,0.197,lineup,1.0,0.221,21.6,5.92,5.15,4.78,4.5,105,draftkings,170,betrivers,7,0.519,0.469,0.05,0.065,0.298
2026-05-01,823557,701542,Will Warren,Baltimore Orioles,0.287,0.309,0.098,0.242,team,1.0,0.278,21.7,6.8,6.89,6.04,5.5,140,betrivers,115,bovada,7,0.561,0.554,0.006,0.346,-0.056
2026-05-01,823877,691587,Eury Pérez,Philadelphia Phillies,0.243,0.229,0.146,0.207,lineup,1.0,0.234,22.3,5.46,4.98,5.22,5.5,105,bovada,170,betrivers,7,0.423,0.479,-0.057,-0.134,0.559
2026-05-01,822990,592662,Robbie Ray,Tampa Bay Rays,0.259,0.272,0.137,0.179,lineup,1.0,0.211,22.6,6.08,5.07,4.76,5.5,125,bovada,270,betrivers,7,0.343,0.426,-0.084,-0.229,1.432
2026-05-01,822990,663556,Shane McClanahan,San Francisco Giants,0.248,0.248,0.12,0.221,lineup,1.0,0.239,20.2,5.69,4.87,4.82,5.5,117,draftkings,-139,betrivers,7,0.352,0.446,-0.094,-0.236,0.114
2026-05-01,823877,554430,Zack Wheeler,Miami Marlins,0.3,0.3,0.0,0.203,lineup,1.0,0.27,20.0,6.9,5.73,5.41,5.5,240,betrivers,155,betmgm,7,0.455,0.575,-0.12,0.546,0.39
2026-05-01,824287,656427,Jack Flaherty,Texas Rangers,0.23,0.257,0.098,0.222,lineup,1.0,0.22,20.3,5.54,5.28,4.46,5.5,120,bovada,132,betrivers,7,0.291,0.442,-0.152,-0.361,0.646
2026-05-01,823389,656605,Mitch Keller,Cincinnati Reds,0.182,0.19,0.104,0.209,lineup,1.0,0.177,23.0,4.26,4.62,4.08,4.5,310,betrivers,113,draftkings,7,0.386,0.55,-0.164,0.584,0.307
2026-05-01,823389,663903,Brady Singer,Pittsburgh Pirates,0.142,0.123,0.097,0.239,lineup,1.0,0.163,22.5,3.09,3.26,3.66,4.5,100,betonlineag,-122,betrivers,7,0.306,0.476,-0.17,-0.389,0.264
2026-05-01,824686,668678,Zac Gallen,Chicago Cubs,0.142,0.158,0.081,0.202,lineup,1.0,0.137,20.2,3.41,2.73,2.76,4.5,255,betrivers,-135,betmgm,7,0.146,0.445,-0.299,-0.481,0.486
2026-05-01,823146,666142,Cole Ragans,Seattle Mariners,0.287,0.298,0.144,0.237,team,1.03,0.313,19.0,6.7,5.84,5.95,,,,,,0,,,,,
2026-05-01,823066,686218,Emmet Sheehan,St. Louis Cardinals,0.255,0.255,0.154,0.224,lineup,1.0,0.269,22.0,5.85,5.46,5.92,,,,,,0,,,,,
2026-05-01,824041,700712,Walbert Urena,New York Mets,0.217,0.244,0.115,0.212,team,1.0,0.214,27.0,5.24,5.8,5.77,,,,,,0,,,,,
2026-05-01,825012,676282,Joey Cantillo,Athletics,0.272,0.271,0.117,0.229,team,1.0,0.262,21.1,6.25,5.83,5.51,,,,,,0,,,,,
2026-05-01,823309,702273,Noah Schultz,San Diego Padres,0.286,0.286,0.105,0.221,team,1.02,0.258,21.0,6.57,5.89,5.41,,,,,,0,,,,,
2026-05-01,824366,656550,Grant Holmes,Colorado Rockies,0.185,0.186,0.143,0.241,lineup,0.92,0.215,22.5,4.27,4.67,4.84,,,,,,0,,,,,
2026-05-01,823146,693433,Bryan Woo,Kansas City Royals,0.191,0.153,0.124,0.221,team,1.03,0.201,23.5,4.05,4.06,4.73,,,,,,0,,,,,
2026-05-01,825012,669372,J.T. Ginn,Cleveland Guardians,0.19,0.208,0.118,0.21,team,1.0,0.195,22.2,4.54,4.09,4.33,,,,,,0,,,,,
2026-05-01,823309,608566,Germán Márquez,Chicago White Sox,0.162,0.162,0.106,0.244,team,1.02,0.197,21.0,3.72,3.69,4.13,,,,,,0,,,,,
2026-05-01,823713,571578,Patrick Corbin,Minnesota Twins,0.203,0.203,0.109,0.216,lineup,1.01,0.199,19.8,4.66,4.03,3.94,,,,,,0,,,,,
2026-05-01,823066,669461,Matthew Liberatore,Los Angeles Dodgers,0.141,0.153,0.087,0.208,team,1.0,0.142,22.4,3.35,3.02,3.19,,,,,,0,,,,,
2026-05-01,823713,680573,Simeon Woods Richardson,Toronto Blue Jays,0.11,0.112,0.075,0.182,team,1.01,0.101,22.9,2.55,2.06,2.32,,,,,,0,,,,,
2026-05-01,824366,500779,Jose Quintana,Atlanta Braves,0.11,0.11,0.089,0.197,team,0.92,0.107,20.5,2.52,1.97,2.18,,,,,,0,,,,,
2026-05-01,824041,681035,Christian Scott,Los Angeles Angels,0.1,0.1,0.0,0.252,team,1.0,0.112,10.0,2.3,1.12,1.12,,,,,,0,,,,,
