date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-05-07,824767,2026-05-07T23:10:00Z,643377,Griffin Jax,Boston Red Sox,False,0.226,0.222,0.152,0.21,lineup,0.96,0.223,22.2,5.16,5.0,4.96,4.32,"[{""id"": 680776, ""name"": ""Jarren Duran"", ""slot"": 1}, {""id"": 575929, ""name"": ""Willson Contreras"", ""slot"": 2}, {""id"": 677800, ""name"": ""Wilyer Abreu"", ""slot"": 3}, {""id"": 596115, ""name"": ""Trevor Story"", ""slot"": 4}, {""id"": 807799, ""name"": ""Masataka Yoshida"", ""slot"": 5}, {""id"": 678882, ""name"": ""Ceddanne Rafaela"", ""slot"": 6}, {""id"": 691785, ""name"": ""Marcelo Mayer"", ""slot"": 7}, {""id"": 657136, ""name"": ""Connor Wong"", ""slot"": 8}, {""id"": 702332, ""name"": ""Caleb Durbin"", ""slot"": 9}]",3.5,118,fanduel,-158,fanduel,1,0.729,0.428,0.301,0.589,-0.558
2026-05-07,823870,2026-05-07T22:40:00Z,700249,Cade Povich,Miami Marlins,False,0.162,0.205,0.13,0.23,lineup,1.0,0.21,29.2,4.11,5.12,6.14,5.88,"[{""id"": 672640, ""name"": ""Otto Lopez"", ""slot"": 1}, {""id"": 681393, ""name"": ""Connor Norby"", ""slot"": 2}, {""id"": 689414, ""name"": ""Liam Hicks"", ""slot"": 3}, {""id"": 666624, ""name"": ""Christopher Morel"", ""slot"": 4}, {""id"": 681715, ""name"": ""Heriberto Hernández"", ""slot"": 5}, {""id"": 665923, ""name"": ""Esteury Ruiz"", ""slot"": 6}, {""id"": 805300, ""name"": ""Jakob Marsee"", ""slot"": 7}, {""id"": 677870, ""name"": ""Leo Jiménez"", ""slot"": 8}, {""id"": 691594, ""name"": ""Javier Sanoja"", ""slot"": 9}]",4.5,-110,betmgm,118,draftkings,6,0.733,0.545,0.188,0.399,-0.418
2026-05-07,824681,2026-05-07T18:20:00Z,684007,Shota Imanaga,Cincinnati Reds,True,0.283,0.26,0.161,0.248,lineup,1.0,0.318,24.2,6.3,7.28,7.69,5.73,"[{""id"": 667472, ""name"": ""Dane Myers"", ""slot"": 1}, {""id"": 680574, ""name"": ""Matt McLain"", ""slot"": 2}, {""id"": 682829, ""name"": ""Elly De La Cruz"", ""slot"": 3}, {""id"": 701398, ""name"": ""Sal Stewart"", ""slot"": 4}, {""id"": 668715, ""name"": ""Spencer Steer"", ""slot"": 5}, {""id"": 663886, ""name"": ""Tyler Stephenson"", ""slot"": 6}, {""id"": 668709, ""name"": ""JJ Bleday"", ""slot"": 7}, {""id"": 694362, ""name"": ""Blake Dunn"", ""slot"": 8}, {""id"": 663647, ""name"": ""Ke'Bryan Hayes"", ""slot"": 9}]",6.5,114,draftkings,122,fanduel,6,0.647,0.473,0.174,0.384,-0.216
2026-05-07,823870,2026-05-07T22:40:00Z,676974,Max Meyer,Baltimore Orioles,True,0.26,0.264,0.149,0.252,lineup,1.0,0.305,22.0,6.01,6.2,6.71,6.16,"[{""id"": 683002, ""name"": ""Gunnar Henderson"", ""slot"": 1}, {""id"": 621493, ""name"": ""Taylor Ward"", ""slot"": 2}, {""id"": 687637, ""name"": ""Dylan Beavers"", ""slot"": 3}, {""id"": 624413, ""name"": ""Pete Alonso"", ""slot"": 4}, {""id"": 694212, ""name"": ""Samuel Basallo"", ""slot"": 5}, {""id"": 641933, ""name"": ""Tyler O'Neill"", ""slot"": 6}, {""id"": 681297, ""name"": ""Colton Cowser"", ""slot"": 7}, {""id"": 691723, ""name"": ""Coby Mayo"", ""slot"": 8}, {""id"": 669236, ""name"": ""Jeremiah Jackson"", ""slot"": 9}]",5.5,-105,betmgm,-108,draftkings,6,0.66,0.501,0.159,0.289,-0.346
2026-05-07,825090,2026-05-07T19:40:00Z,656605,Mitch Keller,Arizona Diamondbacks,False,0.188,0.205,0.109,0.227,lineup,1.0,0.203,23.3,4.48,4.37,4.74,4.24,"[{""id"": 672695, ""name"": ""Geraldo Perdomo"", ""slot"": 1}, {""id"": 606466, ""name"": ""Ketel Marte"", ""slot"": 2}, {""id"": 682998, ""name"": ""Corbin Carroll"", ""slot"": 3}, {""id"": 680728, ""name"": ""Adrian Del Castillo"", ""slot"": 4}, {""id"": 545121, ""name"": ""Ildemaro Vargas"", ""slot"": 5}, {""id"": 699912, ""name"": ""Jose Fernandez"", ""slot"": 6}, {""id"": 678489, ""name"": ""Jorge Barrosa"", ""slot"": 7}, {""id"": 543510, ""name"": ""James McCann"", ""slot"": 8}, {""id"": 677950, ""name"": ""Alek Thomas"", ""slot"": 9}]",3.5,120,fanduel,127,draftkings,6,0.696,0.568,0.128,0.532,-0.31
2026-05-07,824117,2026-05-07T18:10:00Z,677944,Slade Cecconi,Kansas City Royals,False,0.166,0.143,0.103,0.241,lineup,1.0,0.184,23.5,3.6,3.68,4.34,3.91,"[{""id"": 672580, ""name"": ""Maikel Garcia"", ""slot"": 1}, {""id"": 677951, ""name"": ""Bobby Witt Jr."", ""slot"": 2}, {""id"": 686469, ""name"": ""Vinnie Pasquantino"", ""slot"": 3}, {""id"": 521692, ""name"": ""Salvador Perez"", ""slot"": 4}, {""id"": 695600, ""name"": ""Carter Jensen"", ""slot"": 5}, {""id"": 695506, ""name"": ""Jac Caglianone"", ""slot"": 6}, {""id"": 686555, ""name"": ""Isaac Collins"", ""slot"": 7}, {""id"": 686681, ""name"": ""Michael Massey"", ""slot"": 8}, {""id"": 664728, ""name"": ""Kyle Isbel"", ""slot"": 9}]",3.5,-134,betrivers,110,bovada,7,0.631,0.54,0.091,0.101,-0.224
2026-05-07,822741,2026-05-07T17:05:00Z,663623,Jake Irvin,Minnesota Twins,True,0.233,0.223,0.117,0.224,lineup,1.0,0.228,22.2,5.27,4.98,5.06,6.34,"[{""id"": 621439, ""name"": ""Byron Buxton"", ""slot"": 1}, {""id"": 663616, ""name"": ""Trevor Larnach"", ""slot"": 2}, {""id"": 668885, ""name"": ""Austin Martin"", ""slot"": 3}, {""id"": 680777, ""name"": ""Ryan Jeffers"", ""slot"": 4}, {""id"": 670242, ""name"": ""Matt Wallner"", ""slot"": 5}, {""id"": 807712, ""name"": ""Luke Keaschall"", ""slot"": 6}, {""id"": 665019, ""name"": ""Kody Clemens"", ""slot"": 7}, {""id"": 686797, ""name"": ""Brooks Lee"", ""slot"": 8}, {""id"": 656484, ""name"": ""Tristan Gray"", ""slot"": 9}]",4.5,170,betrivers,100,draftkings,7,0.569,0.515,0.054,0.537,-0.139
2026-05-07,823467,2026-05-07T22:40:00Z,691725,Andrew Painter,Athletics,True,0.211,0.184,0.101,0.211,lineup,1.0,0.187,25.1,4.6,5.03,4.68,5.0,"[{""id"": 701762, ""name"": ""Nick Kurtz"", ""slot"": 1}, {""id"": 669127, ""name"": ""Shea Langeliers"", ""slot"": 2}, {""id"": 691016, ""name"": ""Tyler Soderstrom"", ""slot"": 3}, {""id"": 667670, ""name"": ""Brent Rooker"", ""slot"": 4}, {""id"": 666126, ""name"": ""Carlos Cortes"", ""slot"": 5}, {""id"": 805779, ""name"": ""Jacob Wilson"", ""slot"": 6}, {""id"": 671732, ""name"": ""Lawrence Butler"", ""slot"": 7}, {""id"": 680869, ""name"": ""Zack Gelof"", ""slot"": 8}, {""id"": 643446, ""name"": ""Jeff McNeil"", ""slot"": 9}]",4.5,102,draftkings,-105,betmgm,7,0.501,0.494,0.007,0.013,-0.026
2026-05-07,824362,2026-05-07T19:10:00Z,681035,Christian Scott,Colorado Rockies,False,0.312,0.312,0.0,0.216,lineup,0.92,0.276,16.0,7.19,5.62,4.41,4.32,"[{""id"": 666397, ""name"": ""Edouard Julien"", ""slot"": 1}, {""id"": 666160, ""name"": ""Mickey Moniak"", ""slot"": 2}, {""id"": 671289, ""name"": ""Tyler Freeman"", ""slot"": 3}, {""id"": 681198, ""name"": ""TJ Rumfield"", ""slot"": 4}, {""id"": 687859, ""name"": ""Troy Johnston"", ""slot"": 5}, {""id"": 650489, ""name"": ""Willi Castro"", ""slot"": 6}, {""id"": 664983, ""name"": ""Jake McCarthy"", ""slot"": 7}, {""id"": 691720, ""name"": ""Kyle Karros"", ""slot"": 8}, {""id"": 664954, ""name"": ""Brett Sullivan"", ""slot"": 9}]",4.5,118,draftkings,-105,betmgm,4,0.451,0.459,-0.008,-0.016,0.071
2026-05-07,823306,2026-05-08T02:10:00Z,650633,Michael King,St. Louis Cardinals,True,0.245,0.243,0.122,0.222,lineup,1.02,0.245,22.8,5.62,5.38,5.58,9.18,"[{""id"": 802139, ""name"": ""JJ Wetherholt"", ""slot"": 1}, {""id"": 671056, ""name"": ""Iván Herrera"", ""slot"": 2}, {""id"": 676475, ""name"": ""Alec Burleson"", ""slot"": 3}, {""id"": 691023, ""name"": ""Jordan Walker"", ""slot"": 4}, {""id"": 669357, ""name"": ""Nolan Gorman"", ""slot"": 5}, {""id"": 691026, ""name"": ""Masyn Winn"", ""slot"": 6}, {""id"": 701675, ""name"": ""Nathan Church"", ""slot"": 7}, {""id"": 686780, ""name"": ""Pedro Pagés"", ""slot"": 8}, {""id"": 687363, ""name"": ""Victor Scott II"", ""slot"": 9}]",5.5,-101,draftkings,105,betmgm,6,0.485,0.504,-0.019,-0.034,0.055
